date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.10.2020 00:00,10.3,752.4,766.8,-1.0,97,"Штиль, безветрие",0,,,100%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,,9.8,,,,,,,
11.10.2020 00:00,8.2,753.1,767.7,-0.3,87,"Штиль, безветрие",0,,,60%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,6.1,,,,,,,
12.10.2020 00:00,11.1,750.3,764.6,-0.4,68,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,5.4,,,,,,,
13.10.2020 00:00,12.6,749.7,763.9,0.2,94,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,11.6,,,,,,,
14.10.2020 00:00,8.8,749.1,763.5,-0.2,97,"Штиль, безветрие",0,,,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,,8.4,,,,,,,
15.10.2020 00:00,12.4,747.1,761.3,-0.2,91,"Штиль, безветрие",0,,,100%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,11.0,,,,,,,
16.10.2020 00:00,11.3,743.7,757.9,-0.1,63,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,4.4,,,,,,,
17.10.2020 00:00,3.6,749.5,764.2,1.3,80,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,0.5,,,,,,,
18.10.2020 00:00,1.8,745.7,760.4,-3.0,91,"Ветер, дующий с востоко-юго-востока",1,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,,0.4,,,,,,,
19.10.2020 00:00,2.2,740.4,755.0,0.8,84,"Ветер, дующий с юга",1,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.3,,,,,,,
20.10.2020 00:00,2.8,743.0,757.6,-0.8,80,"Ветер, дующий с юга",1,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-0.3,,,,,,,
21.10.2020 00:00,1.4,750.3,765.1,1.4,82,"Ветер, дующий с западо-северо-запада",1,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-1.3,,,,,,,
22.10.2020 00:00,2.6,749.8,764.6,-0.5,93,"Штиль, безветрие",0,,,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,1.6,,,,,,,
23.10.2020 00:00,7.4,740.4,754.7,-2.4,95,"Штиль, безветрие",0,,,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,Высокослоистые непросвечивающие или слоисто-дождевые.,,,6.6,,,,,,,
24.10.2020 00:00,10.3,738.7,752.8,0.3,89,"Ветер, дующий с западо-северо-запада",1,,,70 – 80%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,8.5,,,,,,,
25.10.2020 00:00,8.2,742.6,756.8,0.0,94,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,7.3,,,,,,,
26.10.2020 00:00,8.9,749.7,764.1,1.3,86,"Ветер, дующий с западо-северо-запада",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,6.6,,,,,,,
27.10.2020 00:00,5.7,755.5,770.2,0.6,87,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,3.7,,,,,,,
28.10.2020 00:00,7.2,754.6,769.2,-0.2,84,"Ветер, дующий с юго-юго-востока",1,,,Облаков нет., ,,,,,,,,,,,4.6,,,,,,,
29.10.2020 00:00,7.2,753.4,768.1,-0.1,79,"Штиль, безветрие",0,,,"90  или более, но не 100%",Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","90  или более, но не 100%","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,3.7,,,,,,,
30.10.2020 00:00,4.8,750.5,765.0,-0.7,81,"Ветер, дующий с юго-юго-востока",1,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,1.8,,,,,,,
31.10.2020 00:00,5.7,748.4,763.0,0.2,84,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,,3.1,,,,,,,
01.11.2020 00:00,6.9,753.7,768.4,0.4,84,"Ветер, дующий с северо-востока",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,,4.3,,,,,,,
02.11.2020 00:00,4.1,752.7,767.5,-0.4,96,"Ветер, дующий с востока",1,,,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,3.5,,,,,,,
03.11.2020 00:00,6.1,753.1,767.7,-0.1,94,"Ветер, дующий с востоко-юго-востока",1,,,100%.,Дождь (незамерзающий) неливневый. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,,5.2,,,,,,,
04.11.2020 00:00,8.7,755.6,770.2,0.2,87,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,300-600,,,,6.6,,,,,,,
05.11.2020 00:00,8.3,754.6,769.1,-1.1,83,"Ветер, дующий с юго-запада",1,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,5.5,,,,,,,
06.11.2020 00:00,6.5,745.0,759.4,-2.3,80,"Ветер, дующий с западо-юго-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,3.3,,,,,,,
07.11.2020 00:00,5.4,744.8,759.4,0.6,75,"Ветер, дующий с западо-северо-запада",1,,11,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,1.2,,,,,,,
08.11.2020 00:00,5.9,747.7,762.2,-1.2,84,"Ветер, дующий с запада",1,,,"90  или более, но не 100%",Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,3.4,,,,,,,
09.11.2020 00:00,2.6,750.0,764.8,1.8,81,"Ветер, дующий с северо-запада",2,,,Облаков нет., ,,,,,,,,,,,-0.4,,,,,,,
10.11.2020 00:00,2.0,751.3,766.2,-0.3,89,"Ветер, дующий с запада",1,,10,100%.,Снег непрерывный слабый в срок наблюдения. ,Дождь со снегом или другими видами твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,,0.4,,,,,,,
11.11.2020 00:00,1.9,756.9,771.8,0.7,77,"Ветер, дующий с северо-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-1.7,,,,,,,
12.11.2020 00:00,-1.3,759.4,774.6,0.6,90,"Штиль, безветрие",0,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-2.8,,,,,,,
13.11.2020 00:00,2.6,759.1,774.1,0.4,90,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,1.1,,,,,,,
14.11.2020 00:00,2.6,758.4,773.3,-0.2,94,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,,1.7,,,,,,,
15.11.2020 00:00,1.6,756.7,771.7,0.2,93,"Ветер, дующий с юго-востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,,0.6,,,,,,,
16.11.2020 00:00,0.8,759.8,774.9,0.4,84,"Ветер, дующий с юго-юго-востока",2,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-1.7,,,,,,,
17.11.2020 00:00,-4.2,763.5,778.9,0.6,64,"Ветер, дующий с юго-юго-востока",3,,,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-10.1,,,,,,,
18.11.2020 00:00,-5.3,764.4,779.9,-0.4,77,"Ветер, дующий с юга",2,,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-8.7,,,,,,,
19.11.2020 00:00,-2.0,757.0,772.1,-0.7,92,"Ветер, дующий с юго-юго-запада",2,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-3.1,,,,,,,
20.11.2020 00:00,0.9,748.8,763.6,-0.6,89,"Ветер, дующий с юга",2,,12,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.7,,,,,,,
21.11.2020 00:00,0.2,753.1,768.0,1.2,93,"Ветер, дующий с юга",1,,,100%.,Дымка. ,Дождь со снегом или другими видами твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.8,,,,,,,
22.11.2020 00:00,-0.4,756.5,771.6,-0.7,83,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-2.9,,,,,,,
23.11.2020 00:00,-1.4,745.6,760.6,-1.3,90,"Ветер, дующий с юга",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-2.8,,,,,,,
24.11.2020 00:00,2.3,741.8,756.4,-0.5,97,"Ветер, дующий с западо-юго-запада",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,1.8,,,,,,,
25.11.2020 00:00,1.3,743.9,758.6,0.7,96,"Штиль, безветрие",0,,,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,0.7,,,,,,,
26.11.2020 00:00,0.0,750.1,765.0,0.7,95,"Штиль, безветрие",0,,,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-0.7,,,,,,,
27.11.2020 00:00,1.5,745.2,760.0,-0.8,97,"Штиль, безветрие",0,,,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,100-200,,,,1.0,,,,,,,
28.11.2020 00:00,0.7,745.4,760.2,1.3,89,"Штиль, безветрие",0,,,100%.,Дымка. ,Дождь со снегом или другими видами твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.9,,,,,,,
29.11.2020 00:00,1.4,756.1,771.1,0.8,97,"Ветер, дующий с востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,0.9,,,,,,,
30.11.2020 00:00,3.1,757.1,772.0,0.4,95,"Ветер, дующий с юго-юго-востока",2,,,100%.,Морось незамерзающая непрерывная слабая в срок наблюдения. ,Морось.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,,2.3,,,,,,,
01.12.2020 00:00,0.1,757.3,772.4,0.1,94,"Ветер, дующий с юго-юго-востока",3,,,100%.,Дымка. ,Дождь со снегом или другими видами твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,-0.8,,,,,,,
02.12.2020 00:00,-1.8,761.7,776.9,0.7,93,"Ветер, дующий с юго-востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-2.8,,,,,,,
03.12.2020 00:00,-6.4,762.1,777.7,-0.2,89,"Штиль, безветрие",0,,,40%.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,-8.0,,,,,,,
04.12.2020 00:00,-4.8,760.0,775.4,0.2,87,"Ветер, дующий с юго-юго-востока",2,,,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,,-6.7,,,,,,,
05.12.2020 00:00,-3.3,762.2,777.6,0.6,84,"Ветер, дующий с юго-юго-востока",2,,,100%., ,,,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,,-5.7,,,,,,,
06.12.2020 00:00,-5.8,765.4,781.0,0.7,64,"Ветер, дующий с юга",1,,,Облаков нет., ,,,,,,,,,,,-11.5,,,,,,,
07.12.2020 00:00,-7.3,768.2,784.0,0.0,77,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-10.7,,,,,,,
08.12.2020 00:00,-7.7,768.0,783.7,-0.1,82,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-10.2,,,,,,,
09.12.2020 00:00,-11.0,767.4,783.3,0.2,93,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-11.9,,,,,,,
10.12.2020 00:00,-10.6,765.4,781.2,-0.1,90,"Штиль, безветрие",0,,,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,,-11.9,,,,,,,
11.12.2020 00:00,-7.6,761.5,777.1,-0.3,72,"Штиль, безветрие",0,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,-11.8,,,,,,,
12.12.2020 00:00,-7.7,759.4,775.0,-0.2,73,"Ветер, дующий с юго-юго-востока",1,,,Облаков нет., ,,,,,,,,,,,-11.8,,,,,,,
13.12.2020 00:00,-8.0,758.1,773.6,-0.5,79,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,,-11.1,,,,,,,
14.12.2020 00:00,-4.5,755.9,771.2,-0.3,82,"Ветер, дующий с юго-юго-востока",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-7.2,,,,,,,
15.12.2020 00:00,-5.4,752.2,767.5,-0.5,93,"Штиль, безветрие",0,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,Высокослоистые непросвечивающие или слоисто-дождевые.,,,-6.4,,,,,,,
16.12.2020 00:00,-3.5,753.3,768.4,0.9,89,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-5.0,,,,,,,
17.12.2020 00:00,-1.4,749.8,764.8,-0.9,95,"Штиль, безветрие",0,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,Высокослоистые непросвечивающие или слоисто-дождевые.,,,-2.1,,,,,,,
18.12.2020 00:00,1.8,751.5,766.3,1.0,78,"Ветер, дующий с западо-северо-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-1.6,,,,,,,
19.12.2020 00:00,-1.6,755.8,771.0,0.0,91,"Ветер, дующий с юго-востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-2.9,,,,,,,
20.12.2020 00:00,-2.5,756.5,771.7,0.1,92,"Ветер, дующий с юго-юго-востока",2,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,,-3.7,,,,,,,
21.12.2020 00:00,0.9,758.6,773.7,-0.1,97,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,,0.5,,,,,,,
22.12.2020 00:00,1.1,759.1,774.1,0.1,90,"Ветер, дующий с западо-юго-запада",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.4,,,,,,,
23.12.2020 00:00,-2.5,755.2,770.3,-0.6,84,"Ветер, дующий с юго-запада",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-4.8,,,,,,,
24.12.2020 00:00,-7.4,750.5,765.8,-0.2,83,"Ветер, дующий с юга",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-9.8,,,,,,,
25.12.2020 00:00,-2.9,745.8,760.8,-1.0,88,"Ветер, дующий с юго-юго-востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-4.6,,,,,,,
26.12.2020 00:00,-3.3,739.5,754.3,0.4,96,"Ветер, дующий с юго-юго-востока",2,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,-3.8,,,,,,,
27.12.2020 00:00,-1.8,741.2,756.1,0.5,85,"Ветер, дующий с западо-юго-запада",1,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-4.0,,,,,,,
28.12.2020 00:00,-6.8,757.0,772.4,1.5,83,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-9.2,,,,,,,
29.12.2020 00:00,-9.0,758.8,774.5,-0.4,92,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перисто-слоистые, покрывающие все небо.",,-10.1,,,,,,,
